month,division,line,day_type,category,count
2015-06,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
2015-06,A DIVISION,7,1,Stations and Structure,1
2015-06,B DIVISION,A,1,Persons on Trackbed/Police/Medical,2
2015-06,B DIVISION,A,1,Track,1
2015-06,B DIVISION,C,1,Signals,1
2015-06,B DIVISION,C,1,Track,2
2015-06,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
2015-06,B DIVISION,E,1,Persons on Trackbed/Police/Medical,2
2015-06,B DIVISION,E,1,Signals,1
2015-06,B DIVISION,E,1,Track,1
2015-06,B DIVISION,F,1,Stations and Structure,1
2015-06,B DIVISION,JZ,1,Other,1
2015-06,B DIVISION,JZ,1,Signals,1
2015-06,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
2015-06,B DIVISION,M,1,Persons on Trackbed/Police/Medical,3
2015-06,B DIVISION,M,1,Stations and Structure,1
2015-06,B DIVISION,M,1,Track,1
2015-06,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2015-06,B DIVISION,N,1,Signals,2
2015-06,B DIVISION,N,1,Track,1
2015-06,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2015-06,B DIVISION,Q,1,Signals,1
2015-06,B DIVISION,R,1,Signals,3
2015-06,B DIVISION,R,1,Stations and Structure,1
2015-06,B DIVISION,R,1,Track,1
2015-06,Systemwide,Systemwide,1,Other,2
2015-06,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,24
2015-06,Systemwide,Systemwide,1,Signals,16
2015-06,Systemwide,Systemwide,1,Stations and Structure,4
2015-06,Systemwide,Systemwide,1,Subway Car,1
2015-06,Systemwide,Systemwide,1,Track,15
2015-06,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
2015-07,A DIVISION,1,1,Other,1
2015-07,A DIVISION,1,1,Persons on Trackbed/Police/Medical,3
2015-07,A DIVISION,1,1,Signals,1
2015-07,A DIVISION,1,1,Track,2
2015-07,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2015-07,A DIVISION,2,1,Signals,2
2015-07,A DIVISION,2,1,Track,2
2015-07,A DIVISION,2,2,Track,1
2015-07,A DIVISION,3,1,Signals,1
2015-07,A DIVISION,3,1,Track,3
2015-07,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2015-07,A DIVISION,4,1,Other,1
2015-07,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2015-07,A DIVISION,4,1,Signals,1
2015-07,A DIVISION,4,1,Track,1
2015-07,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2015-07,A DIVISION,5,1,Signals,2
2015-07,A DIVISION,5,1,Track,1
2015-07,A DIVISION,6,1,Persons on Trackbed/Police/Medical,4
2015-07,A DIVISION,6,1,Signals,4
2015-07,A DIVISION,6,1,Subway Car,3
2015-07,A DIVISION,7,1,Signals,1
2015-07,A DIVISION,7,1,Subway Car,1
2015-07,A DIVISION,7,2,Persons on Trackbed/Police/Medical,1
2015-07,B DIVISION,A,1,Other,2
2015-07,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2015-07,B DIVISION,A,1,Signals,1
2015-07,B DIVISION,A,1,Track,3
2015-07,B DIVISION,C,1,Signals,1
2015-07,B DIVISION,C,1,Stations and Structure,1
2015-07,B DIVISION,C,2,Signals,1
2015-07,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2015-07,B DIVISION,D,1,Track,1
2015-07,B DIVISION,E,1,Persons on Trackbed/Police/Medical,3
2015-07,B DIVISION,E,1,Track,3
2015-07,B DIVISION,F,1,Other,2
2015-07,B DIVISION,F,1,Signals,4
2015-07,B DIVISION,F,1,Subway Car,1
2015-07,B DIVISION,F,1,Track,2
2015-07,B DIVISION,JZ,1,Persons on Trackbed/Police/Medical,1
2015-07,B DIVISION,L,1,Signals,2
2015-07,B DIVISION,L,1,Track,1
2015-07,B DIVISION,L,2,Signals,1
2015-07,B DIVISION,M,1,Signals,1
2015-07,B DIVISION,M,1,Track,1
2015-07,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2015-07,B DIVISION,N,1,Signals,3
2015-07,B DIVISION,N,1,Track,1
2015-07,B DIVISION,N,2,Signals,1
2015-07,B DIVISION,N,2,Track,1
2015-07,B DIVISION,Q,1,Signals,2
2015-07,B DIVISION,Q,1,Track,2
2015-07,B DIVISION,R,1,Track,1
2015-07,Systemwide,Systemwide,1,Other,6
2015-07,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,19
2015-07,Systemwide,Systemwide,1,Signals,26
2015-07,Systemwide,Systemwide,1,Stations and Structure,1
2015-07,Systemwide,Systemwide,1,Subway Car,5
2015-07,Systemwide,Systemwide,1,Track,24
2015-07,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
2015-07,Systemwide,Systemwide,2,Signals,3
2015-07,Systemwide,Systemwide,2,Track,2
2015-08,A DIVISION,1,1,Signals,1
2015-08,A DIVISION,1,1,Stations and Structure,2
2015-08,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2015-08,A DIVISION,2,1,Signals,2
2015-08,A DIVISION,2,1,Track,2
2015-08,A DIVISION,2,2,Signals,1
2015-08,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
2015-08,A DIVISION,3,1,Track,1
2015-08,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2015-08,A DIVISION,4,1,Signals,2
2015-08,A DIVISION,4,1,Subway Car,1
2015-08,A DIVISION,5,1,Other,1
2015-08,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2015-08,A DIVISION,5,1,Track,1
2015-08,A DIVISION,6,1,Other,1
2015-08,A DIVISION,6,1,Persons on Trackbed/Police/Medical,3
2015-08,A DIVISION,6,1,Signals,1
2015-08,A DIVISION,6,1,Subway Car,1
2015-08,A DIVISION,6,2,Signals,1
2015-08,B DIVISION,A,1,Track,1
2015-08,B DIVISION,B,1,Signals,1
2015-08,B DIVISION,C,1,Signals,1
2015-08,B DIVISION,C,2,Persons on Trackbed/Police/Medical,1
2015-08,B DIVISION,D,1,Signals,2
2015-08,B DIVISION,D,1,Track,1
2015-08,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
2015-08,B DIVISION,E,1,Signals,1
2015-08,B DIVISION,E,1,Subway Car,1
2015-08,B DIVISION,E,2,Signals,1
2015-08,B DIVISION,F,1,Other,1
2015-08,B DIVISION,F,1,Signals,4
2015-08,B DIVISION,F,1,Stations and Structure,1
2015-08,B DIVISION,F,1,Track,2
2015-08,B DIVISION,G,1,Persons on Trackbed/Police/Medical,2
2015-08,B DIVISION,JZ,1,Signals,1
2015-08,B DIVISION,L,1,Signals,1
2015-08,B DIVISION,L,2,Stations and Structure,1
2015-08,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2015-08,B DIVISION,M,1,Signals,3
2015-08,B DIVISION,M,1,Track,3
2015-08,B DIVISION,N,1,Other,1
2015-08,B DIVISION,N,1,Signals,1
2015-08,B DIVISION,N,1,Stations and Structure,1
2015-08,B DIVISION,N,1,Track,1
2015-08,B DIVISION,Q,1,Signals,1
2015-08,B DIVISION,R,1,Other,1
2015-08,B DIVISION,R,1,Signals,2
2015-08,B DIVISION,R,1,Subway Car,1
2015-08,B DIVISION,R,2,Signals,1
2015-08,B DIVISION,S Rock,2,Other,1
2015-08,Systemwide,Systemwide,1,Other,5
2015-08,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,11
2015-08,Systemwide,Systemwide,1,Signals,24
2015-08,Systemwide,Systemwide,1,Stations and Structure,4
2015-08,Systemwide,Systemwide,1,Subway Car,4
2015-08,Systemwide,Systemwide,1,Track,12
2015-08,Systemwide,Systemwide,2,Other,1
2015-08,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,2
2015-08,Systemwide,Systemwide,2,Signals,4
2015-08,Systemwide,Systemwide,2,Stations and Structure,1
2015-09,A DIVISION,1,1,Stations and Structure,1
2015-09,A DIVISION,2,1,Signals,2
2015-09,A DIVISION,2,1,Subway Car,1
2015-09,A DIVISION,2,1,Track,2
2015-09,A DIVISION,2,2,Signals,1
2015-09,A DIVISION,3,1,Track,1
2015-09,A DIVISION,3,2,Other,1
2015-09,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2015-09,A DIVISION,4,1,Signals,1
2015-09,A DIVISION,4,1,Subway Car,2
2015-09,A DIVISION,4,1,Track,1
2015-09,A DIVISION,4,2,Other,1
2015-09,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
2015-09,A DIVISION,5,1,Signals,3
2015-09,A DIVISION,5,1,Track,3
2015-09,A DIVISION,6,1,Signals,2
2015-09,A DIVISION,6,2,Signals,1
2015-09,A DIVISION,7,1,Subway Car,1
2015-09,A DIVISION,7,1,Track,2
2015-09,B DIVISION,A,1,Other,1
2015-09,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2015-09,B DIVISION,A,1,Track,3
2015-09,B DIVISION,A,2,Signals,1
2015-09,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
2015-09,B DIVISION,B,1,Signals,1
2015-09,B DIVISION,B,1,Track,1
2015-09,B DIVISION,C,1,Signals,1
2015-09,B DIVISION,C,1,Track,1
2015-09,B DIVISION,D,1,Signals,1
2015-09,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2015-09,B DIVISION,E,1,Signals,4
2015-09,B DIVISION,E,1,Track,3
2015-09,B DIVISION,E,2,Track,1
2015-09,B DIVISION,F,1,Signals,6
2015-09,B DIVISION,G,1,Other,1
2015-09,B DIVISION,L,2,Stations and Structure,1
2015-09,B DIVISION,L,2,Track,1
2015-09,B DIVISION,M,1,Other,1
2015-09,B DIVISION,M,1,Signals,1
2015-09,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2015-09,B DIVISION,N,1,Subway Car,1
2015-09,B DIVISION,Q,1,Signals,2
2015-09,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
2015-09,B DIVISION,R,1,Subway Car,1
2015-09,Systemwide,Systemwide,1,Other,3
2015-09,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,8
2015-09,Systemwide,Systemwide,1,Signals,24
2015-09,Systemwide,Systemwide,1,Stations and Structure,1
2015-09,Systemwide,Systemwide,1,Subway Car,6
2015-09,Systemwide,Systemwide,1,Track,17
2015-09,Systemwide,Systemwide,2,Other,2
2015-09,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,1
2015-09,Systemwide,Systemwide,2,Signals,3
2015-09,Systemwide,Systemwide,2,Stations and Structure,1
2015-09,Systemwide,Systemwide,2,Track,2
2015-10,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2015-10,A DIVISION,1,1,Signals,1
2015-10,A DIVISION,1,1,Track,1
2015-10,A DIVISION,2,1,Other,1
2015-10,A DIVISION,2,1,Persons on Trackbed/Police/Medical,4
2015-10,A DIVISION,2,1,Stations and Structure,1
2015-10,A DIVISION,2,2,Track,1
2015-10,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2015-10,A DIVISION,4,1,Signals,1
2015-10,A DIVISION,4,1,Track,1
2015-10,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
2015-10,A DIVISION,5,1,Other,2
2015-10,A DIVISION,5,1,Persons on Trackbed/Police/Medical,3
2015-10,A DIVISION,5,1,Signals,3
2015-10,A DIVISION,5,2,Signals,1
2015-10,A DIVISION,5,2,Track,1
2015-10,A DIVISION,6,1,Persons on Trackbed/Police/Medical,3
2015-10,A DIVISION,6,1,Signals,5
2015-10,A DIVISION,6,1,Track,1
2015-10,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
2015-10,A DIVISION,7,1,Signals,2
2015-10,A DIVISION,7,2,Track,1
2015-10,B DIVISION,A,1,Persons on Trackbed/Police/Medical,2
2015-10,B DIVISION,A,1,Signals,1
2015-10,B DIVISION,A,1,Track,2
2015-10,B DIVISION,A,2,Track,1
2015-10,B DIVISION,C,1,Track,1
2015-10,B DIVISION,C,2,Track,2
2015-10,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2015-10,B DIVISION,D,1,Signals,1
2015-10,B DIVISION,D,1,Track,2
2015-10,B DIVISION,D,2,Track,1
2015-10,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
