month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2015-03,B DIVISION,B,1,1790,1733,0.968156425
2015-03,B DIVISION,C,1,1650,1557,0.943636364
2015-03,B DIVISION,C,2,1322,1315,0.994704992
2015-03,B DIVISION,D,1,2025,1989,0.982222222
2015-03,B DIVISION,D,2,1528,1538,1.006544503
2015-03,B DIVISION,E,1,1716,1602,0.933566434
2015-03,B DIVISION,E,2,1107,1102,0.995483288
2015-03,B DIVISION,F,1,3190,3083,0.96645768
2015-03,B DIVISION,F,2,1718,1691,0.984284051
2015-03,B DIVISION,G,1,968,963,0.994834711
2015-03,B DIVISION,G,2,1728,1557,0.901041667
2015-03,B DIVISION,JZ,1,1122,1099,0.979500891
2015-03,B DIVISION,JZ,2,537,537,1
2015-03,B DIVISION,L,1,2001,1943,0.971014493
2015-03,B DIVISION,L,2,1764,1489,0.844104308
2015-03,B DIVISION,M,1,1914,1812,0.946708464
2015-03,B DIVISION,M,2,639,541,0.846635368
2015-03,B DIVISION,N,1,1914,1891,0.987983281
2015-03,B DIVISION,N,2,1719,1719,1
2015-03,B DIVISION,Q,1,1942,1925,0.991246138
2015-03,B DIVISION,Q,2,1723,1712,0.993615786
2015-03,B DIVISION,R,1,2112,2091,0.990056818
2015-03,B DIVISION,R,2,1341,1334,0.994780015
2015-03,B DIVISION,S Fkln,1,756,732,0.968253968
2015-03,B DIVISION,S Fkln,2,704,681,0.967329545
2015-03,B DIVISION,S Rock,1,480,472,0.983333333
2015-03,B DIVISION,S Rock,2,448,448,1
2015-03,Systemwide,Systemwide,1,46676,44486,0.953080812
2015-03,Systemwide,Systemwide,2,28301,27327,0.965584255
2015-04,A DIVISION,1,1,1743,1740,0.99827883
2015-04,A DIVISION,1,2,717,711,0.991631799
2015-04,A DIVISION,2,1,2376,2239,0.942340067
2015-04,A DIVISION,2,2,960,968,1.008333333
2015-04,A DIVISION,3,1,2288,2244,0.980769231
2015-04,A DIVISION,3,2,960,953,0.992708333
2015-04,A DIVISION,4,1,3080,2926,0.95
2015-04,A DIVISION,4,2,1432,1380,0.963687151
2015-04,A DIVISION,5,1,2816,2528,0.897727273
2015-04,A DIVISION,5,2,704,707,1.004261364
2015-04,A DIVISION,6,1,2398,2198,0.916597164
2015-04,A DIVISION,6,2,716,677,0.945530726
2015-04,A DIVISION,7,1,2332,2218,0.951114923
2015-04,A DIVISION,7,2,1152,1134,0.984375
2015-04,A DIVISION,S 42nd,1,3212,3148,0.98007472
2015-04,A DIVISION,S 42nd,2,1098,1098,1
2015-04,B DIVISION,A,1,2794,2714,0.971367215
2015-04,B DIVISION,A,2,1592,1583,0.994346734
2015-04,B DIVISION,B,1,1848,1830,0.99025974
2015-04,B DIVISION,C,1,1575,1553,0.986031746
2015-04,B DIVISION,C,2,1140,1128,0.989473684
2015-04,B DIVISION,D,1,2024,1996,0.986166008
2015-04,B DIVISION,D,2,1404,1390,0.99002849
2015-04,B DIVISION,E,1,1716,1666,0.970862471
2015-04,B DIVISION,E,2,672,671,0.998511905
2015-04,B DIVISION,F,1,3190,3116,0.976802508
2015-04,B DIVISION,F,2,1294,1264,0.976816074
2015-04,B DIVISION,G,1,924,919,0.994588745
2015-04,B DIVISION,G,2,1536,1499,0.975911458
2015-04,B DIVISION,JZ,1,1072,1051,0.980410448
2015-04,B DIVISION,JZ,2,716,718,1.002793296
2015-04,B DIVISION,L,1,1996,1939,0.971442886
2015-04,B DIVISION,L,2,1270,1235,0.972440945
2015-04,B DIVISION,M,1,1914,1837,0.959770115
2015-04,B DIVISION,M,2,682,666,0.976539589
2015-04,B DIVISION,N,1,1914,1904,0.99477534
2015-04,B DIVISION,N,2,1273,1081,0.849175177
2015-04,B DIVISION,Q,1,1940,1905,0.981958763
2015-04,B DIVISION,Q,2,1531,1594,1.041149575
2015-04,B DIVISION,R,1,2112,2108,0.998106061
2015-04,B DIVISION,R,2,960,957,0.996875
2015-04,B DIVISION,S Fkln,1,756,751,0.993386243
2015-04,B DIVISION,S Fkln,2,704,684,0.971590909
2015-04,B DIVISION,S Rock,1,484,483,0.997933884
2015-04,B DIVISION,S Rock,2,448,448,1
2015-04,Systemwide,Systemwide,1,46504,45013,0.967938242
2015-04,Systemwide,Systemwide,2,22961,22546,0.981925874
2015-05,A DIVISION,1,1,1494,1485,0.993975904
2015-05,A DIVISION,1,2,1195,1195,1
2015-05,A DIVISION,2,1,1944,1818,0.935185185
2015-05,A DIVISION,2,2,1600,1479,0.924375
2015-05,A DIVISION,3,1,1871,1832,0.979155532
2015-05,A DIVISION,3,2,1601,1551,0.968769519
2015-05,A DIVISION,4,1,2520,2340,0.928571429
2015-05,A DIVISION,4,2,2444,2338,0.956628478
2015-05,A DIVISION,5,1,2304,2065,0.896267361
2015-05,A DIVISION,5,2,896,886,0.988839286
2015-05,A DIVISION,6,1,1962,1828,0.931702345
2015-05,A DIVISION,6,2,1230,1191,0.968292683
2015-05,A DIVISION,7,1,2600,2458,0.945384615
2015-05,A DIVISION,7,2,1678,1646,0.980929678
2015-05,A DIVISION,S 42nd,1,2482,2446,0.985495568
2015-05,A DIVISION,S 42nd,2,1830,1828,0.998907104
2015-05,B DIVISION,A,1,2540,2434,0.958267717
2015-05,B DIVISION,A,2,1910,1902,0.995811518
2015-05,B DIVISION,B,1,1680,1637,0.974404762
2015-05,B DIVISION,C,1,1425,1375,0.964912281
2015-05,B DIVISION,C,2,1519,1517,0.998683344
2015-05,B DIVISION,D,1,1840,1814,0.985869565
2015-05,B DIVISION,D,2,1600,1600,1
2015-05,B DIVISION,E,1,1560,1467,0.940384615
2015-05,B DIVISION,E,2,800,792,0.99
2015-05,B DIVISION,F,1,2900,2816,0.971034483
2015-05,B DIVISION,F,2,1271,1192,0.937844217
2015-05,B DIVISION,G,1,876,886,1.011415525
2015-05,B DIVISION,G,2,1920,1907,0.993229167
2015-05,B DIVISION,JZ,1,1020,1010,0.990196078
2015-05,B DIVISION,JZ,2,863,860,0.996523754
2015-05,B DIVISION,L,1,1815,1775,0.977961433
2015-05,B DIVISION,L,2,1510,1441,0.954304636
2015-05,B DIVISION,M,1,1740,1640,0.942528736
2015-05,B DIVISION,M,2,661,656,0.992435703
2015-05,B DIVISION,N,1,1740,1711,0.983333333
2015-05,B DIVISION,N,2,1593,1435,0.90081607
2015-05,B DIVISION,Q,1,1763,1713,0.971639251
2015-05,B DIVISION,Q,2,1912,1721,0.900104603
2015-05,B DIVISION,R,1,1920,1867,0.972395833
2015-05,B DIVISION,R,2,1599,1582,0.989368355
2015-05,B DIVISION,S Fkln,1,684,681,0.995614035
2015-05,B DIVISION,S Fkln,2,880,851,0.967045455
2015-05,B DIVISION,S Rock,1,418,422,1.009569378
2015-05,B DIVISION,S Rock,2,320,325,1.015625
2015-05,Systemwide,Systemwide,1,41098,39520,0.961603971
2015-05,Systemwide,Systemwide,2,30832,29895,0.969609497
2015-06,A DIVISION,1,1,1660,1638,0.986746988
2015-06,A DIVISION,1,2,956,934,0.976987448
2015-06,A DIVISION,2,1,2268,2116,0.9329806
2015-06,A DIVISION,2,2,1326,1281,0.966063348
2015-06,A DIVISION,3,1,2184,2141,0.980311355
2015-06,A DIVISION,3,2,1280,1260,0.984375
2015-06,A DIVISION,4,1,2940,2767,0.941156463
2015-06,A DIVISION,4,2,1908,1801,0.943920335
2015-06,A DIVISION,5,1,2688,2403,0.893973214
2015-06,A DIVISION,5,2,880,827,0.939772727
2015-06,A DIVISION,6,1,2289,2100,0.917431193
2015-06,A DIVISION,6,2,981,931,0.9490316
2015-06,A DIVISION,7,1,2610,2485,0.95210728
2015-06,A DIVISION,7,2,1344,1311,0.975446429
2015-06,A DIVISION,S 42nd,1,3048,2920,0.958005249
2015-06,A DIVISION,S 42nd,2,1482,1428,0.963562753
2015-06,B DIVISION,A,1,2794,2702,0.967072298
2015-06,B DIVISION,A,2,1592,1583,0.994346734
2015-06,B DIVISION,B,1,1848,1820,0.984848485
2015-06,B DIVISION,C,1,1650,1588,0.962424242
2015-06,B DIVISION,C,2,1346,1342,0.997028232
2015-06,B DIVISION,D,1,2024,1989,0.98270751
2015-06,B DIVISION,D,2,1369,1282,0.936449963
2015-06,B DIVISION,E,1,1716,1623,0.945804196
2015-06,B DIVISION,E,2,656,658,1.00304878
2015-06,B DIVISION,F,1,3190,3159,0.990282132
2015-06,B DIVISION,F,2,670,663,0.989552239
2015-06,B DIVISION,G,1,968,979,1.011363636
2015-06,B DIVISION,G,2,1536,1509,0.982421875
2015-06,B DIVISION,JZ,1,1122,1094,0.975044563
2015-06,B DIVISION,JZ,2,537,525,0.977653631
2015-06,B DIVISION,L,1,2002,1927,0.962537463
2015-06,B DIVISION,L,2,1272,1215,0.955188679
2015-06,B DIVISION,M,1,1902,1803,0.947949527
2015-06,B DIVISION,M,2,362,346,0.955801105
2015-06,B DIVISION,N,1,1914,1886,0.985370951
2015-06,B DIVISION,N,2,1304,1302,0.998466258
2015-06,B DIVISION,Q,1,1941,1901,0.979392066
2015-06,B DIVISION,Q,2,1532,1532,1
2015-06,B DIVISION,R,1,2091,2069,0.989478718
2015-06,B DIVISION,R,2,1309,1279,0.977081742
2015-06,B DIVISION,S Fkln,1,756,723,0.956349206
2015-06,B DIVISION,S Fkln,2,704,699,0.992897727
2015-06,B DIVISION,S Rock,1,484,493,1.018595041
2015-06,B DIVISION,S Rock,2,448,450,1.004464286
2015-06,Systemwide,Systemwide,1,46089,44326,0.961747922
2015-06,Systemwide,Systemwide,2,24794,24158,0.974348633
2015-07,A DIVISION,1,1,1816,1758,0.968061674
2015-07,A DIVISION,1,2,956,956,1
2015-07,A DIVISION,2,1,2376,2224,0.936026936
2015-07,A DIVISION,2,2,1280,1221,0.95390625
2015-07,A DIVISION,3,1,2288,2226,0.972902098
2015-07,A DIVISION,3,2,1280,1247,0.97421875
2015-07,A DIVISION,4,1,3080,2869,0.931493506
2015-07,A DIVISION,4,2,1908,1875,0.982704403
2015-07,A DIVISION,5,1,2816,2492,0.884943182
2015-07,A DIVISION,6,1,2398,2255,0.940366972
2015-07,A DIVISION,6,2,957,942,0.984326019
2015-07,A DIVISION,7,1,2794,2599,0.930207588
2015-07,A DIVISION,7,2,960,948,0.9875
2015-07,A DIVISION,S 42nd,1,3212,3181,0.990348692
2015-07,A DIVISION,S 42nd,2,1464,1464,1
2015-07,B DIVISION,A,1,2794,2714,0.971367215
2015-07,B DIVISION,A,2,1304,1290,0.989263804
2015-07,B DIVISION,B,1,1848,1799,0.973484848
2015-07,B DIVISION,C,1,1650,1604,0.972121212
2015-07,B DIVISION,C,2,969,949,0.979360165
2015-07,B DIVISION,D,1,2024,1991,0.983695652
2015-07,B DIVISION,D,2,1152,1160,1.006944444
2015-07,B DIVISION,E,1,1716,1605,0.935314685
2015-07,B DIVISION,E,2,688,678,0.985465116
2015-07,B DIVISION,F,1,3183,3075,0.966069746
2015-07,B DIVISION,F,2,952,907,0.952731092
2015-07,B DIVISION,G,1,968,936,0.966942149
2015-07,B DIVISION,G,2,1536,1526,0.993489583
2015-07,B DIVISION,JZ,1,1122,1110,0.989304813
2015-07,B DIVISION,JZ,2,716,716,1
2015-07,B DIVISION,L,1,2002,1950,0.974025974
2015-07,B DIVISION,L,2,1115,1074,0.9632287
2015-07,B DIVISION,M,1,1892,1798,0.950317125
2015-07,B DIVISION,M,2,724,715,0.987569061
2015-07,B DIVISION,N,1,1914,1883,0.983803553
2015-07,B DIVISION,N,2,1370,1334,0.973722628
2015-07,B DIVISION,Q,1,1943,1918,0.987133299
2015-07,B DIVISION,Q,2,1532,1521,0.992819843
2015-07,B DIVISION,R,1,2079,2060,0.990860991
2015-07,B DIVISION,R,2,1312,1285,0.979420732
2015-07,B DIVISION,S Fkln,1,792,780,0.984848485
2015-07,B DIVISION,S Fkln,2,704,667,0.947443182
2015-07,B DIVISION,S Rock,1,484,478,0.987603306
2015-07,B DIVISION,S Rock,2,448,448,1
2015-07,Systemwide,Systemwide,1,47191,45305,0.960034752
2015-07,Systemwide,Systemwide,2,23327,22923,0.982681013
2015-08,A DIVISION,1,1,1722,1645,0.955284553
2015-08,A DIVISION,1,2,1195,1190,0.9958159
2015-08,A DIVISION,2,1,2268,2104,0.927689594
2015-08,A DIVISION,2,2,1760,1748,0.993181818
2015-08,A DIVISION,3,1,2184,2115,0.968406593
2015-08,A DIVISION,3,2,1280,1281,1.00078125
2015-08,A DIVISION,4,1,2940,2704,0.919727891
2015-08,A DIVISION,4,2,2383,2195,0.921107847
2015-08,A DIVISION,5,1,2688,2369,0.881324405
2015-08,A DIVISION,5,2,512,517,1.009765625
2015-08,A DIVISION,6,1,2064,1941,0.940406977
2015-08,A DIVISION,6,2,1195,1150,0.962343096
2015-08,A DIVISION,7,1,2670,2555,0.956928839
2015-08,A DIVISION,7,2,1678,1672,0.996424315
2015-08,A DIVISION,S 42nd,1,3066,3018,0.984344423
2015-08,A DIVISION,S 42nd,2,1830,1822,0.995628415
2015-08,B DIVISION,A,1,2667,2592,0.971878515
2015-08,B DIVISION,A,2,1241,1249,1.006446414
2015-08,B DIVISION,B,1,1764,1736,0.984126984
2015-08,B DIVISION,C,1,1575,1562,0.991746032
2015-08,B DIVISION,C,2,1031,1031,1
2015-08,B DIVISION,D,1,1932,1918,0.992753623
2015-08,B DIVISION,D,2,1600,1585,0.990625
2015-08,B DIVISION,E,1,1605,1534,0.95576324
2015-08,B DIVISION,E,2,800,793,0.99125
2015-08,B DIVISION,F,1,2985,2940,0.984924623
2015-08,B DIVISION,F,2,1552,1524,0.981958763
2015-08,B DIVISION,G,1,924,914,0.989177489
2015-08,B DIVISION,G,2,1920,1902,0.990625
2015-08,B DIVISION,JZ,1,1071,1028,0.959850607
2015-08,B DIVISION,JZ,2,716,713,0.995810056
2015-08,B DIVISION,L,1,1911,1853,0.969649398
2015-08,B DIVISION,L,2,1510,1372,0.908609272
2015-08,B DIVISION,M,1,1795,1758,0.979387187
2015-08,B DIVISION,M,2,724,722,0.997237569
2015-08,B DIVISION,N,1,1827,1808,0.989600438
2015-08,B DIVISION,N,2,1116,1109,0.993727599
2015-08,B DIVISION,Q,1,1852,1832,0.989200864
2015-08,B DIVISION,Q,2,1149,1122,0.976501305
2015-08,B DIVISION,R,1,1926,1931,1.002596054
2015-08,B DIVISION,R,2,1598,1603,1.003128911
2015-08,B DIVISION,S Fkln,1,756,752,0.994708995
2015-08,B DIVISION,S Fkln,2,880,879,0.998863636
2015-08,B DIVISION,S Rock,1,462,459,0.993506494
2015-08,B DIVISION,S Rock,2,561,549,0.978609626
2015-08,Systemwide,Systemwide,1,44654,43068,0.964482465
2015-08,Systemwide,Systemwide,2,28231,27728,0.982182707
2015-09,A DIVISION,1,1,1722,1702,0.988385598
2015-09,A DIVISION,1,2,717,718,1.0013947
2015-09,A DIVISION,2,1,2268,2133,0.94047619
2015-09,A DIVISION,2,2,1441,1406,0.975711312
2015-09,A DIVISION,3,1,2184,2129,0.97481685
2015-09,A DIVISION,3,2,1440,1422,0.9875
2015-09,A DIVISION,4,1,2940,2744,0.933333333
2015-09,A DIVISION,4,2,1908,1858,0.973794549
2015-09,A DIVISION,5,1,2688,2438,0.906994048
2015-09,A DIVISION,5,2,384,380,0.989583333
2015-09,A DIVISION,6,1,2249,2094,0.93108048
2015-09,A DIVISION,6,2,956,908,0.949790795
2015-09,A DIVISION,7,1,2670,2500,0.936329588
2015-09,A DIVISION,7,2,1347,1332,0.988864143
2015-09,A DIVISION,S 42nd,1,3054,2915,0.95448592
2015-09,A DIVISION,S 42nd,2,1464,1451,0.991120219
2015-09,B DIVISION,A,1,2667,2581,0.967754031
2015-09,B DIVISION,A,2,1146,1141,0.995636998
2015-09,B DIVISION,B,1,1764,1709,0.968820862
2015-09,B DIVISION,C,1,1575,1522,0.966349206
2015-09,B DIVISION,C,2,977,954,0.976458547
2015-09,B DIVISION,D,1,1932,1921,0.994306418
2015-09,B DIVISION,D,2,1342,1342,1
2015-09,B DIVISION,E,1,1626,1553,0.955104551
2015-09,B DIVISION,E,2,704,697,0.990056818
2015-09,B DIVISION,F,1,3021,2979,0.986097319
2015-09,B DIVISION,F,2,1149,1065,0.92689295
2015-09,B DIVISION,G,1,924,898,0.971861472
2015-09,B DIVISION,G,2,1536,1527,0.994140625
2015-09,B DIVISION,JZ,1,1071,1049,0.97945845
2015-09,B DIVISION,JZ,2,729,725,0.994513032
2015-09,B DIVISION,L,1,1911,1880,0.983778127
2015-09,B DIVISION,L,2,1543,1310,0.848995463
2015-09,B DIVISION,M,1,1819,1749,0.961517317
2015-09,B DIVISION,M,2,724,721,0.995856354
2015-09,B DIVISION,N,1,1827,1815,0.993431856
2015-09,B DIVISION,N,2,1081,1080,0.999074931
2015-09,B DIVISION,Q,1,1854,1834,0.989212513
2015-09,B DIVISION,Q,2,1149,1148,0.999129678
2015-09,B DIVISION,R,1,2004,2007,1.001497006
2015-09,B DIVISION,R,2,1340,1296,0.967164179
2015-09,B DIVISION,S Fkln,1,756,730,0.965608466
2015-09,B DIVISION,S Fkln,2,704,697,0.990056818
2015-09,B DIVISION,S Rock,1,462,465,1.006493506
2015-09,B DIVISION,S Rock,2,318,314,0.987421384
2015-09,Systemwide,Systemwide,1,44988,43347,0.963523606
2015-09,Systemwide,Systemwide,2,24099,23492,0.974812233
2015-10,A DIVISION,1,1,1804,1765,0.978381375
2015-10,A DIVISION,1,2,1076,1070,0.994423792
2015-10,A DIVISION,2,1,2376,2229,0.938131313
2015-10,A DIVISION,2,2,1443,1366,0.946638947
2015-10,A DIVISION,3,1,2288,2231,0.975087413
2015-10,A DIVISION,3,2,1440,1434,0.995833333
2015-10,A DIVISION,4,1,3080,2833,0.919805195
2015-10,A DIVISION,4,2,2145,2059,0.95990676
2015-10,A DIVISION,5,1,2816,2522,0.895596591
2015-10,A DIVISION,5,2,1184,1106,0.934121622
2015-10,A DIVISION,6,1,2398,2124,0.885738115
2015-10,A DIVISION,6,2,1076,1064,0.988847584
2015-10,A DIVISION,7,1,2860,2714,0.948951049
2015-10,A DIVISION,7,2,1534,1510,0.984354628
2015-10,A DIVISION,S 42nd,1,3110,3002,0.965273312
2015-10,A DIVISION,S 42nd,2,558,556,0.996415771
2015-10,B DIVISION,A,1,2794,2697,0.965282749
2015-10,B DIVISION,A,2,1020,1016,0.996078431
2015-10,B DIVISION,B,1,1848,1845,0.998376623
2015-10,B DIVISION,C,1,1650,1595,0.966666667
2015-10,B DIVISION,C,2,1251,1225,0.979216627
2015-10,B DIVISION,D,1,2024,2016,0.996047431
2015-10,B DIVISION,D,2,1403,1381,0.984319316
2015-10,B DIVISION,E,1,1716,1639,0.955128205
2015-10,B DIVISION,E,2,288,287,0.996527778
2015-10,B DIVISION,F,1,3190,3160,0.990595611
2015-10,B DIVISION,F,2,1535,1401,0.912703583
2015-10,B DIVISION,G,1,968,963,0.994834711
2015-10,B DIVISION,G,2,1728,1712,0.990740741
2015-10,B DIVISION,JZ,1,1122,1092,0.973262032
2015-10,B DIVISION,JZ,2,812,807,0.993842365
2015-10,B DIVISION,L,1,2002,1918,0.958041958
2015-10,B DIVISION,L,2,1390,1304,0.938129496
2015-10,B DIVISION,M,1,1914,1842,0.962382445
2015-10,B DIVISION,M,2,820,811,0.98902439
2015-10,B DIVISION,N,1,1914,1896,0.990595611
2015-10,B DIVISION,N,2,1400,1377,0.983571429
2015-10,B DIVISION,Q,1,1938,1914,0.987616099
2015-10,B DIVISION,Q,2,1724,1720,0.997679814
2015-10,B DIVISION,R,1,2112,2125,1.006155303
2015-10,B DIVISION,R,2,1436,1410,0.98189415
2015-10,B DIVISION,S Fkln,1,792,776,0.97979798
2015-10,B DIVISION,S Fkln,2,744,727,0.977150538
2015-10,B DIVISION,S Rock,1,462,456,0.987012987
2015-10,B DIVISION,S Rock,2,222,205,0.923423423
2015-10,Systemwide,Systemwide,1,47178,45354,0.961337912
2015-10,Systemwide,Systemwide,2,26229,25548,0.974036372
2015-11,A DIVISION,1,1,1562,1524,0.975672215
2015-11,A DIVISION,1,2,956,948,0.991631799
2015-11,A DIVISION,2,1,2052,1922,0.936647173
2015-11,A DIVISION,2,2,1282,1226,0.956318253
2015-11,A DIVISION,3,1,1976,1929,0.976214575
2015-11,A DIVISION,3,2,1280,1262,0.9859375
2015-11,A DIVISION,4,1,2658,2459,0.925131678
2015-11,A DIVISION,4,2,1666,1569,0.941776711
2015-11,A DIVISION,5,1,2432,2176,0.894736842
2015-11,A DIVISION,5,2,672,664,0.988095238
2015-11,A DIVISION,6,1,2068,1895,0.916344294
2015-11,A DIVISION,6,2,956,919,0.961297071
2015-11,A DIVISION,7,1,2340,2183,0.932905983
2015-11,A DIVISION,7,2,1152,1125,0.9765625
2015-11,A DIVISION,S 42nd,1,2774,2743,0.988824802
2015-11,A DIVISION,S 42nd,2,1638,1636,0.998778999
2015-11,B DIVISION,A,1,2525,2456,0.972673267
2015-11,B DIVISION,A,2,1401,1405,1.002855103
2015-11,B DIVISION,B,1,1674,1663,0.993428913
2015-11,B DIVISION,C,1,1500,1454,0.969333333
2015-11,B DIVISION,C,2,1105,1092,0.988235294
2015-11,B DIVISION,D,1,1830,1810,0.989071038
2015-11,B DIVISION,D,2,1403,1364,0.972202423
2015-11,B DIVISION,E,1,1550,1474,0.950967742
2015-11,B DIVISION,E,2,544,541,0.994485294
2015-11,B DIVISION,F,1,2886,2841,0.984407484
2015-11,B DIVISION,F,2,822,722,0.878345499
